fecha_venta,tipo_empanada,sucursal,medio_pago,metodo_compra,cliente,unidades,precio_total,calificacion,tiempo_entrega_min
2023-04-08 00:21,Carne Picante,Sucursal Oeste,Tarjeta Crédito,Web,Nuevo,5,11.8,,
2023-03-04 11:09,Caprese,Sucursal Sur,Tarjeta Crédito,Delivery,Habitual,11,19.36,,36.0
2023-05-31 03:45,Cebolla y Queso,Sucursal Norte,Tarjeta Débito,Presencial,Nuevo,2,2.26,5.0,
2023-01-04 04:41,Verdura,Sucursal Oeste,Efectivo,Delivery,Nuevo,7,12.32,2.0,42.0
2023-07-25 18:45,Caprese,Sucursal Oeste,MercadoPago,Delivery,Nuevo,6,12.96,2.0,37.0
2023-10-08 02:16,Caprese,Sucursal Sur,MercadoPago,Web,Nuevo,2,4.02,1.0,
2023-10-31 17:37,Carne,Sucursal Palermo,Efectivo,Delivery,Habitual,12,12.12,4.0,15.0
2023-03-08 06:29,Dulce de Leche,Sucursal Palermo,Tarjeta Crédito,Web,Nuevo,2,3.66,4.0,
2023-01-05 06:32,Carne Picante,Sucursal Palermo,Efectivo,Presencial,Habitual,9,11.16,4.0,
2023-03-13 05:52,Verdura,Sucursal Norte,MercadoPago,Web,Habitual,10,22.2,,
2023-11-28 18:42,Carne Picante,Sucursal Centro,Tarjeta Débito,Web,Habitual,11,18.04,1.0,
2023-04-18 14:05,Humita,Sucursal Norte,MercadoPago,Delivery,Habitual,1,1.11,1.0,40.0
2023-03-04 01:45,Carne,Sucursal Sur,Efectivo,Delivery,Nuevo,5,6.7,3.0,41.0
2023-11-07 06:34,Jamon y Queso,Sucursal Norte,Efectivo,Presencial,Habitual,5,11.55,4.0,
2023-07-05 00:13,Carne,Sucursal Palermo,Tarjeta Débito,Delivery,Nuevo,4,5.88,5.0,47.0
2023-05-01 12:14,Dulce de Leche,Sucursal Norte,Efectivo,Web,Habitual,11,23.43,5.0,
2023-09-28 07:35,Verdura,Sucursal Norte,Efectivo,Web,Nuevo,12,21.36,5.0,
2023-06-22 05:33,Caprese,Sucursal Centro,Tarjeta Débito,Delivery,Nuevo,4,9.2,5.0,23.0
2023-01-11 05:04,Carne,Sucursal Norte,Tarjeta Débito,Delivery,Habitual,6,10.44,4.0,11.0
2023-08-27 12:18,Humita,Sucursal Sur,Tarjeta Débito,Delivery,Nuevo,5,10.35,2.0,59.0
2023-03-24 08:28,Carne Picante,Sucursal Centro,MercadoPago,Presencial,Habitual,3,6.78,5.0,
2023-05-13 18:55,Carne Picante,Sucursal Norte,Tarjeta Crédito,Presencial,Habitual,12,23.28,,
2023-11-26 01:25,Caprese,Sucursal Centro,MercadoPago,Web,Nuevo,12,21.12,5.0,
2023-09-13 10:20,Verdura,Sucursal Oeste,Tarjeta Crédito,Presencial,Habitual,8,9.28,,
2023-06-06 07:46,Dulce de Leche,Sucursal Centro,Tarjeta Débito,Presencial,Habitual,10,16.3,4.0,
2023-07-31 20:51,Dulce de Leche,Sucursal Palermo,Tarjeta Crédito,Presencial,Habitual,8,10.08,4.0,
2023-03-18 23:55,Jamon y Queso,Sucursal Oeste,Tarjeta Débito,Presencial,Habitual,1,2.03,,
2023-03-20 22:47,Jamon y Queso,Sucursal Oeste,Tarjeta Crédito,Presencial,Nuevo,4,7.2,5.0,
2023-04-14 12:32,Pollo,Sucursal Norte,Tarjeta Débito,Delivery,Nuevo,6,8.58,3.0,53.0
2023-04-28 11:04,Pollo,Sucursal Palermo,Efectivo,Web,Habitual,10,10.5,5.0,
2023-06-30 17:51,Carne Picante,Sucursal Norte,MercadoPago,Delivery,Nuevo,10,11.2,4.0,28.0
2023-04-02 23:10,Verdura,Sucursal Sur,MercadoPago,Delivery,Habitual,12,25.68,3.0,41.0
2023-06-24 13:13,Jamon y Queso,Sucursal Palermo,MercadoPago,Web,Nuevo,7,14.98,4.0,
2023-04-19 14:31,Caprese,Sucursal Norte,Tarjeta Crédito,Delivery,Nuevo,6,13.98,5.0,31.0
2023-09-29 01:53,Humita,Sucursal Centro,MercadoPago,Delivery,Nuevo,7,16.52,,44.0
2023-12-24 16:41,Caprese,Sucursal Centro,Tarjeta Débito,Delivery,Nuevo,7,14.07,1.0,30.0
2023-08-30 10:01,Carne Picante,Sucursal Sur,Tarjeta Débito,Presencial,Habitual,11,16.72,5.0,
2023-02-05 16:06,Humita,Sucursal Centro,Efectivo,Web,Nuevo,1,2.4,1.0,
2023-03-18 21:32,Caprese,Sucursal Sur,Tarjeta Crédito,Presencial,Habitual,11,18.92,4.0,
2023-08-14 10:24,Carne Picante,Sucursal Sur,Efectivo,Web,Habitual,12,14.88,5.0,
2023-11-10 11:03,Carne Picante,Sucursal Norte,Tarjeta Crédito,Delivery,Habitual,11,14.3,5.0,24.0
2023-04-20 15:25,Dulce de Leche,Sucursal Palermo,Tarjeta Crédito,Delivery,Habitual,9,12.15,5.0,26.0
2023-07-01 22:58,Jamon y Queso,Sucursal Norte,MercadoPago,Delivery,Habitual,4,4.88,1.0,58.0
2023-04-24 11:40,Caprese,Sucursal Sur,Tarjeta Crédito,Presencial,Nuevo,1,1.17,,
2023-07-19 22:22,Pollo,Sucursal Sur,MercadoPago,Presencial,Nuevo,6,8.46,4.0,
2023-09-28 20:14,Humita,Sucursal Norte,MercadoPago,Web,Nuevo,2,3.04,1.0,
2023-07-08 07:03,Verdura,Sucursal Oeste,Tarjeta Crédito,Web,Nuevo,3,5.31,5.0,
2023-01-31 07:30,Verdura,Sucursal Palermo,Tarjeta Débito,Delivery,Habitual,9,13.23,4.0,47.0
2023-05-23 23:54,Carne Picante,Sucursal Palermo,MercadoPago,Delivery,Habitual,3,4.62,2.0,34.0
2023-07-21 19:23,Caprese,Sucursal Palermo,Tarjeta Débito,Web,Habitual,4,4.48,1.0,
2023-06-27 01:57,Carne,Sucursal Palermo,Tarjeta Crédito,Presencial,Nuevo,1,2.38,,
2023-01-30 14:46,Humita,Sucursal Norte,Tarjeta Débito,Presencial,Habitual,12,12.0,,
2023-08-17 10:01,Dulce de Leche,Sucursal Sur,MercadoPago,Presencial,Nuevo,12,14.28,4.0,
2023-02-26 06:06,Verdura,Sucursal Sur,Tarjeta Débito,Delivery,Habitual,2,3.5,,55.0
2023-06-22 22:53,Cebolla y Queso,Sucursal Norte,Efectivo,Delivery,Habitual,12,14.04,1.0,34.0
2023-05-11 09:32,Dulce de Leche,Sucursal Sur,MercadoPago,Presencial,Habitual,3,3.72,,
2023-12-11 09:30,Humita,Sucursal Sur,Tarjeta Crédito,Web,Nuevo,5,7.2,4.0,
2023-07-27 19:56,Caprese,Sucursal Sur,Efectivo,Delivery,Habitual,1,2.26,5.0,15.0
2023-05-27 09:30,Pollo,Sucursal Oeste,Efectivo,Web,Habitual,7,12.32,,
2023-10-16 12:55,Verdura,Sucursal Palermo,MercadoPago,Presencial,Nuevo,12,23.04,,
2023-02-22 04:32,Pollo,Sucursal Norte,Tarjeta Débito,Presencial,Nuevo,12,27.96,4.0,
2023-01-03 22:22,Humita,Sucursal Oeste,MercadoPago,Delivery,Nuevo,11,21.78,3.0,55.0
2023-10-29 20:05,Humita,Sucursal Oeste,Tarjeta Débito,Delivery,Nuevo,9,21.87,4.0,28.0
2023-10-14 23:36,Cebolla y Queso,Sucursal Centro,MercadoPago,Delivery,Nuevo,11,17.71,5.0,27.0
